Call Sign,Origin,Destination,EOBT,TOBT,CTOT,Stand Assignment
DLH533,ZZZZ,EKCH,,13:45,NIL,A22
SIA308,ZZZZ,EKCH,,13:45,NIL,C35
NSZ3741,LIPZ,EKCH,,14:10,NIL,A26
AFR28NU,ZZZZ,EKCH,,14:10,NIL,A12
SAS402,ZZZZ,EKCH,,14:15,NIL,A27
SAS625,ZZZZ,EKCH,,14:25,NIL,A20
SAS1258,EKAH,EKCH,,14:40,NIL,F96
DNU526,ZZZZ,EKCH,,14:50,NIL,A31
ADB653F,ZZZZ,EKCH,,15:00,NIL,G136
BAW157,ZZZZ,EKCH,,15:25,NIL,C27
CDF1SU,ZZZZ,EKCH,,15:30,NIL,E36
SAS747,ZZZZ,EKCH,,15:30,NIL,E36
NSZ3539,ZZZZ,EKCH,,15:35,NIL,A23
SAS78,ZZZZ,EKCH,,15:40,NIL,D4
KQA108,ZZZZ,EKCH,,16:05,NIL,C33
SAS586,ZZZZ,EKCH,,16:10,NIL,B7
TG950,ZZZZ,EKCH,,16:30,NIL,E89
SAS540A,ZZZZ,EKCH,,16:35,NIL,B9
WZZ3WF,ZZZZ,EKCH,,16:50,NIL,H101
DLH1211,ZZZZ,EKCH,,17:00,NIL,A23
SAS411,ZZZZ,EKCH,,17:40,NIL,D1
SAS949,ZZZZ,EKCH,,17:40,NIL,E33
SAS932A,ZZZZ,EKCH,,18:10,NIL,C36
AIC157,ZZZZ,EKCH,,18:20,NIL,C37
DLH1211,ZZZZ,EKCH,,18:35,NIL,A4
DLH1211,ZZZZ,EKCH,,19:05,NIL,A8
UAE151,ZZZZ,EKCH,,19:25,NIL,C39
IBE1823,ZZZZ,EKCH,,19:35,NIL,E71
QTR49F,ZZZZ,EKCH,,19:50,NIL,C37
BVI2DW,ZZZZ,EKCH,,19:55,NIL,E71
BVI4RK,ZZZZ,EKCH,,19:55,NIL,E74
SAS2NX,ZZZZ,EKCH,,20:00,NIL,D2
SAS1427,ZZZZ,EKCH,,20:00,NIL,B9
SAS89B,LSZH,EKCH,,20:10,NIL,B7
